Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo Municipio INE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;email;Web;Entidad_Titular;Naturaleza;Sector;Tipo;Subtipo
VALORACIÓN, ORIENTACIÓN, PLANIFICACIÓN DE CASO Y SEGUIMIENTO;30/09/2021;CALLE SAN PEDRO;24;24089;LEON;LEON;24007;LEÓN - EL EJIDO;987 222590;;ssvp@ssvp.es;;SOCIEDAD DE SAN VICENTE DE PAUL;INSTITUCIONES, ÓRDENES, CONGREGACIONES RELIGIOSAS Y SIMILARES;POBLACIÓN GENERAL;Servicio;( 2.1   ) Servicio  de valoración, orientación,  planificación de caso y seguimiento
ESTIMULACION COGNITIVA;12/08/2022;AVENIDA PADRE ISLA 38 BAJO;24;24089;LEON;LEON;24002;LEÓN - CENTRO;606 279152;;carba87@gmail.com;;SARA CARBAJAL FERNÁNDEZ;PERSONA FÍSICA-EMPRESA INDIVIDUAL;PERSONAS CON DISCAPACIDAD;Servicio;Servicio de estimulación cognitiva
ESTIMULACIÓN COGNITIVA;05/08/2022;AVENIDA PADRE ISLA 38;24;24089;LEON;LEON;24002;LEÓN - CENTRO;;;;;LAURA SAN JUAN VARA;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA PERSONAL;05/08/2022;AVENIDA PADRE ISLA 38;24;24089;LEON;LEON;24002;LEÓN - CENTRO;619 782664;;;;LAURA SAN JUAN VARA;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE AYUDA A DOMICILIO;09/05/2023;AVENIDA ORDOÑO II 2  ;24;24089;LEON;LEON;24001;LEÓN - CENTRO;987 880987;;ayudaadomicilio@tuayd.com;;TUAYD SERVICIOS SOCIALES S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE ALOJAMIENTO PARA PERSONAS SIN HOGAR;08/08/2022;CALLE ARCIPRESTE DE HITA 5 4ºC;24;24089;LEON;LEON;24004;LEÓN - CENTRO;983 456634;;accionsocial@fundacioncauce.org;;FUNDACION CAUCE;FUNDACIÓN;INCLUSIÓN SOCIAL;Servicio;( 29.10 ) Servicio de alojamiento para personas sin hogar
FORMACIÓN Y APOYO PARA LA INTEGRACIÓN SOCIOLABORAL DE PERSONAS CON DROGODEPENDENCIA;30/09/2021;AVENIDA FACULTAD DE VETERINARIA 59;24;24089;LEON;LEON;24004;LEÓN - CENTRO;983 306466;;contabilidad@aclad.net;;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;ASOCIACIÓN;TOXICOMANÍAS Y ADICCIONES;Servicio;Servicio de formación y apoyo para la integración sociolaboral d personas con drogodependencia(27.5)
ORIENTACIÓN Y ASESORAMIENTO A PERSONAS CON DROGODEPENDENCIA CON PROBLEMAS JURÍDICO-PENALES;30/09/2021;AVENIDA INGENIERO SAENZ DE MIERA 6;24;24089;LEON;LEON;24009;LEÓN - CENTRO;983 306466;;contabilidad@aclad.net;;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;ASOCIACIÓN;TOXICOMANÍAS Y ADICCIONES;Servicio;(26.18 ) Serv. de orientación y asesoramiento a personas con drogodependencia con problemas jurídico
SERVICIO DE APOYO PARA LA INTEGRACION SOCIOLABORAL DE PERSONAS EN RIESGO DE EXCLUSIÓN SOCIAL;30/09/2021;CALLE SAN VICENTE MARTIR 2 BAJO;24;24089;LEON;LEON;24004;LEÓN - PUENTE CASTRO;987 215600;;alquite@alquite.com;;ESCUELA DE TIEMPO LIBRE ALQUITE;SOCIEDADES;INCLUSIÓN SOCIAL;Servicio;(27.5  ) Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social
VALORACIÓN, ORIENTACIÓN Y PLANIFICACIÓN DE CASO ANTE SITUACIONES DE VIOLENCIA DE GÉNERO;30/09/2021;AVENIDA FACULTAD DE VETERINARIA 59;24;24089;LEON;LEON;24004;LEÓN - CENTRO;983 306466;;contabilidad@aclad.net;;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;ASOCIACIÓN;MUJER;Servicio;(2.3) Serv.valoración, orientación, planificación caso - situaciones de violencia de género
SERVICIO DE AYUDA DE DOMICILIO;19/12/2022;AVENIDA REYES LEONESES S/N;24;24089;LEON;LEON;24008;ZDESCONOCIDO;987 279495;;otzonaoeste@ingesan.es;;OHL SERVICIOS-INGESAN, S.A.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;10/11/2023;CALLE CRONISTA LUIS PASTRANA S/N ESQ. PABLO AZCARATE Y FLORES ;24;24089;LEON;LEON;24010;ZDESCONOCIDO;987 279495;;otzonaoeste@ingesan.es;;OHL SERVICIOS-INGESAN, S.A.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
SERVICIO DE AYUDA A DOMICILIO;05/12/2022;AVENIDA REYES LEONESES, 14;24;24089;LEON;LEON;24008;ZDESCONOCIDO;987 279495;;otzonaoeste@ingesan.es;;OHL SERVICIOS-INGESAN, S.A.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
FORMACIÓN Y APOYO PARA LA INTEGRACIÓN SOCIOLABORAL DE PERSONAS CON DROGODEPENDENCIA;30/09/2021;CALLE TORREJON (EL) 4;24;24089;LEON;LEON;24007;LEÓN - EL EJIDO;663 401853;;direccion@proyectojovenleon.org;;FUNDACIÓN PROYECTO JOVEN;FUNDACIÓN;TOXICOMANÍAS Y ADICCIONES;Servicio;Servicio de formación y apoyo para la integración sociolaboral d personas con drogodependencia(27.5)
PROVISIÓN INMEDIATA DE ALIMENTACIÓN;30/09/2021;AVENIDA MARIANO ANDRES 22;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;91 3645112;;fundacion@mensajerosdelapaz.org;;FUNDACIÓN MENSAJEROS DE LA PAZ;FUNDACIÓN;POBLACIÓN GENERAL;Servicio;( 31.2  ) Servicio de provisión inmediata de alimentación
SERVICIO DE ESTIMULACIÓN COGNITIVA;02/10/2024;CALLE PARIS 6 BAJO, LOCAL 4-5;24;24089;LEON;LEON;24005;LEÓN - EL EJIDO;987 224458;;admin@neuroredacer.es;;NEUROBIENESTAR Y SALUD, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
PRESTACIÓN ECONÓMICA PARA PRODUCTOS DE APOYO Y LA ELIMINACIÓN DE BARRERAS EN EL DOMICILIO PARA LA ACCESIBILIDAD;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;( 22.1  ) Prestación económica para productos de apoyo y la eliminación de barreras en el domicilio 
TELEASISTENCIA;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;PERSONAS MAYORES;Servicio;( 20.   ) Teleasistencia
APOYO PARA LA ACTIVACIÓN DEL PROYECTO DE VIDA;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;( 18.1  ) Servicio de apoyo para la elaboración del proyecto de vida
ACCION SOCIAL COMUNITARIA Y PROMOCIÓN DE LA SOLIDARIDAD;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;(10.1  ) Servicio de acción social comunitaria y promoción de la solidaridad
PROMOCIÓN DEL CONOCIMIENTO Y ADQUISICIÓN DE HABILIDADES;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;PERSONAS MAYORES;Servicio;( 9.5   ) Servicio de promoción del conocimiento y la adquisición de habilidades
ADQUISICIÓN DE COMPETENCIAS PARA LA VIDA AUTÓNOMA;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;PERSONAS MAYORES;Servicio;( 9.3   ) Servicio de adquisición de competencias para la vida autónoma
INFORMACIÓN ESPECIALIZADA SOBRE CONVIVENCIA INTERGENERACIONAL;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERGUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;PERSONAS MAYORES;Servicio;( 1.12  ) Servicio de información especializada sobre convivencia intergeneracional
INFORMACIÓN ESPECIALIZADA SOBRE INCLUSIÓN SOCIAL;04/11/2021;CALLE PUERTA OBISPO 13;24;24089;LEON;LEON;24006;LEÓN - EL EJIDO;987 255093;;traso1906@gmail.com;;ASOCIACIÓN LEONESA DE CARIDAD;ASOCIACIÓN;INCLUSIÓN SOCIAL;Servicio;( 1.10  ) Servicio de información especializada sobre inclusión social
DISTRIBUCIÓN COORDINADA DE ALIMENTOS;29/11/2021;AVENIDA ORDOÑO II 10;24;24089;LEON;LEON;24001;LEÓN - CENTRO;987 895500;;juanjose.compadre@jcyl.es;;AYUNTAMIENTO DE LEÓN;ADMINISTRACIÓN LOCAL;INCLUSIÓN SOCIAL;Servicio;( 31.1  ) Servicio de distribución coordinada de alimentos
INFORMACIÓN Y ORIENTACIÓN ESPECIALIZADA SOBRE ACCESIBILIDAD;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 5 ALBERUE ASOCIACIONES CHF;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;666 663364;;belenaren@activosyfelices.org;;ASOCIACION ACTIVOS Y FELICES;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;( 1.9   ) Servicio de información y orientación especializada sobre accesibilidad
SERVICIO DE APOYO PARA LA INTEGRACION SOCIOLABORAL DE PERSONAS EN RIESGO DE EXCLUSION SOCIAL;05/08/2024;AVENIDA NOCEDO 4 ENTRESUELO IZQUIERDA;24;24089;LEON;LEON;24007;LEÓN - SAN MAMÉS;633 779133;;gerencia@ecoperia.org;;ASOCIACION ECOPERIA;ASOCIACIÓN;INCLUSIÓN SOCIAL;Servicio;(27.5  ) Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social
SERVICIO DE INFORMACIÓN Y ORIENTACIÓN;30/09/2021;CALLE 8 DE MARZO 24,2ºC;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 311240;;javiermoran777@hotmail.com;;ASOCIACIÓN DE ESCOLIOSIS LEONESA - ADESLE;ASOCIACIÓN;PERSONAS CON DISCAPACIDAD;Servicio;Información y orientación sobre discapacidad
INFORMACIÓN ESPECIALIZADA SOBRE MUJER;07/10/2021;CALLE CAMPOS GOTICOS (LOS) 3;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 209764;;coordinacion@asociacionauryn.org;;ASOCIACION JUVENIL "AURYN";ASOCIACIÓN;MUJER;Servicio;( 1.6   ) Servicio de información especializada sobre mujer
APOYO FAMILIAR PARA LA INCLUSIÓN SOCIAL;30/09/2021;CALLE SAN JUAN BOSCO 11;24;24089;LEON;LEON;24009;LEÓN - ARMUNIA;987 213192;;info@cjboscoleon.org;;ASOCIACION CENTRO JUVENIL DON BOSCO;ASOCIACIÓN;INCLUSIÓN SOCIAL;Servicio;( 12.10  ) Servicio de apoyo familiar para la inclusión social
PROVISIÓN INMEDIATA DE ALIMENTACIÓN;04/11/2021;CALLE PUERTA OBISPO 13;24;24089;LEON;LEON;24006;LEÓN - EL EJIDO;987 255093;;traso1906@gmail.com;;ASOCIACIÓN LEONESA DE CARIDAD;ASOCIACIÓN;INCLUSIÓN SOCIAL;Servicio;( 31.2  ) Servicio de provisión inmediata de alimentación
SERVICIO DE INFORMACION ESPECIALIZADA SOBRE VOLUNTARIADO;30/09/2021;CALLE SAN VICENTE MARTIR 2 BAJO;24;24089;LEON;LEON;24004;LEÓN - PUENTE CASTRO;987 215600;;alquite@alquite.com;;ESCUELA DE TIEMPO LIBRE ALQUITE;SOCIEDADES;VOLUNTARIADO;Servicio;( 1.13  ) Servicio de información especializada sobre voluntariado
ASISTENCIA LETRADA Y DEFENSA JURÍDICA A MUJERES Y NIÑAS VÍCTIMAS DE AGRESIONES Y/O ABUSOS SEXUALES;10/02/2022;CALLE GRAN VIA 4-1º OFICINA 1;24;24089;LEON;LEON;24002;LEÓN - CENTRO;987 230062;;adavasleon@adavas.org;;ASOCIACIÓN DE AYUDA A VÍCTIMAS DE AGRESIONES SEXUALES Y VIOLENCIA DOMÉSTICA - ADAVAS;ASOCIACIÓN;MUJER;Servicio;(26.12 ) Serv asistencia letrada/defensa jca  mujeres/niñas víctimas agresiones y/o abusos sexuales
ESTIMULACIÓN COGNITIVA;30/09/2021;CALLE FERNANDO III EL SANTO 4 BAJO;24;24089;LEON;LEON;24004;LEÓN - SAN MAMÉS;689 737473;;direccion@adelantelogopedia.com;;RAQUEL CAÑÓN MARTÍNEZ;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
ACOMPAÑAMIENTO Y ORIENTACIÓN JURÍDICO-SOCIAL A LA MUJER VÍCTIMA DE VIOLENCIA DE GÉNERO;10/02/2022;CALLE GRAN VIA DE SAN MARCOS 4-1º OFICINA 1;24;24089;LEON;LEON;24002;LEÓN - CENTRO;987 230062;;adavasleon@adavas.org;;ASOCIACIÓN DE AYUDA A VÍCTIMAS DE AGRESIONES SEXUALES Y VIOLENCIA DOMÉSTICA - ADAVAS;ASOCIACIÓN;MUJER;Servicio;(26.8  ) Serv.  Acompañamiento, orientación jurídico social a mujer víctima violencia de género
ATENCIÓN ESPECIALZADA A MUJERES Y NIÑAS VÍCTIMAS DE TRATA CON FINES DE EXPLOTACIÓN SEXUAL;30/09/2021;AVENIDA FACULTAD DE VETERINARIA 59;24;24089;LEON;LEON;24004;LEÓN - CENTRO;983 306466;;contabilidad@aclad.net;;ACLAD, ATENCIÓN INTEGRAL A COLECTIVOS EN RIESGO;ASOCIACIÓN;MUJER;Servicio;(29.7  ) Serv atención especializ. mujeres/niñas víctimas trata con fines explotación sexual
VALORACIÓN, ORIENTACIÓN Y PLANIFICACIÓN DE CASO ANTE SITUACIONES DE VIOLENCIA DE GÉNERO;30/09/2021;CALLE CID 24;24;24089;LEON;LEON;24003;LEÓN - CENTRO;987 252535;;castillayleon@cruzroja.es;;CRUZ ROJA ESPAÑOLA;ASOCIACIÓN;MUJER;Servicio;(2.3) Serv.valoración, orientación, planificación caso - situaciones de violencia de género
SERVICIO DE INTERVENCIÓN CON MENORES Y JÓVENES CON CONSUMO PROBLEMÁTICO DE DROGAS Y SUS FAMILIAS;30/09/2021;CALLE TORREJON (EL) 4;24;24089;LEON;LEON;24007;LEÓN - CENTRO;663 401853;;director@proyectojovenleon.org;;FUNDACIÓN PROYECTO JOVEN;FUNDACIÓN;TOXICOMANÍAS Y ADICCIONES;Servicio;(26.20 )Serv.de intervención con menores y jóvenes con consumo problemático de drogas y sus familias
SERVICIO INTEGRAL DE APOYO A FAMILIAS EN RIESGO DE DESAHUCIO POR DEUDA HIPOTECARIA;09/08/2022;CARRETERA CARBAJAL S/S;24;24089;LEON;LEON;24008;ASTORGA;987 085003;;derechossociales@dipuleon.es;;DIPUTACIÓN PROVINCIAL DE LEÓN;ADMINISTRACIÓN LOCAL;(FAMILIA);Servicio;( 12.11 ) Servicio integral de apoyo a las familias en riesgo de desahucio por deuda hipotecaria
APOYO PARA LA INTEGRACIÓN SOCIOLABORAL DE PERSONAS EN RIESGO DE EXCLUSIÓN SOCIAL;30/09/2021;CARRETERA CARBAJAL S/N;24;24089;LEON;LEON;24008;ASTORGA;987 085003;;derechossociales@dipuleon.es;;DIPUTACIÓN PROVINCIAL DE LEÓN;ADMINISTRACIÓN LOCAL;INCLUSIÓN SOCIAL;Servicio;(27.5  ) Serv. apoyo para la integración sociolaboral de personas en riesgo de exclusión social
VALORACIÓN, ORIENTACIÓN, PLANIFICACIÓN DE CASO Y SEGUIMIENTO;30/09/2021;PLAZA SAN MARCELO 6;24;24089;LEON;LEON;24002;ASTORGA;987 085003;;deerechossociales@dipuleon.es;;DIPUTACIÓN PROVINCIAL DE LEÓN;ADMINISTRACIÓN LOCAL;POBLACIÓN GENERAL;Servicio;( 2.1   ) Servicio  de valoración, orientación,  planificación de caso y seguimiento
ACTUACIONES PREVENTIVAS PARA FAMILIAS CON HIJOS O HIJAS MENORES EN SITUACIÓN DE RIESGO;30/09/2021;PLAZA SAN MARCELO 6;24;24089;LEON;LEON;24002;ASTORGA;987 085003;;;;DIPUTACIÓN PROVINCIAL DE LEÓN;ADMINISTRACIÓN LOCAL;(FAMILIA);Servicio;(10.2)Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo
DISTRIBUCIÓN COORDINADA DE ALIMENTOS;30/09/2021;PLAZA SAN MARCELO 6;24;24089;LEON;LEON;24002;ASTORGA;987 085003;;derechossociales@dipuleon.es;;DIPUTACIÓN PROVINCIAL DE LEÓN;ADMINISTRACIÓN LOCAL;POBLACIÓN GENERAL;Servicio;( 31.1  ) Servicio de distribución coordinada de alimentos
INFORMACIÓN SOBRE DERECHOS Y RECURSOS DEL SISTEMA DE SERVICIOS SOCIALES;30/09/2021;PLAZA SAN MARCELO 6;24;24089;LEON;LEON;24002;LEÓN I - VILLAQUILAMBRE;987 085003;;derechossociales@dipuleon.es;;DIPUTACIÓN PROVINCIAL DE LEÓN;ADMINISTRACIÓN LOCAL;POBLACIÓN GENERAL;Servicio;( 1.1   ) Servicio de información sobre derechos y recursos del sistema de servicios sociales
APOYO FAMILIAR PARA LA INCLUSIÓN SOCIAL;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 3;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 209764;;coordinacion@asociacionauryn.org;;ASOCIACION JUVENIL "AURYN";ASOCIACIÓN;INCLUSIÓN SOCIAL;Servicio;( 12.10  ) Servicio de apoyo familiar para la inclusión social
ACTUACIONES PREVENTIVAS PARA FAMILIAS CON HIJOS O HIJAS MENORES EN SITUACIÓN DE RIESGO;21/06/2022;CALLE GRAN VIA DE SAN MARCOS 4;24;24089;LEON;LEON;24002;LEÓN - CENTRO;;;;;ASOCIACIÓN DE AYUDA A VÍCTIMAS DE AGRESIONES SEXUALES Y VIOLENCIA DOMÉSTICA - ADAVAS;ASOCIACIÓN;INCLUSIÓN SOCIAL;Servicio;(10.2  ) Serv.actuaciones preventivas para familias con hijos/as menores en situación de riesgo
SERVICIO DE APOYO PREVENTIVO A LA INFANCIA Y A LA ADOLESCENCIA EN SITUACION DE RIESGO;30/09/2021;CALLE SAN VICENTE MARTIR 2 BAJO;24;24089;LEON;LEON;24004;LEÓN - PUENTE CASTRO;987 215600;;alquite@alquite,com;;ESCUELA DE TIEMPO LIBRE ALQUITE;SOCIEDADES;INFANCIA (Y JUVENTUD);Servicio;Servicio de apoyo preventivo a la infancia y a la adolescencia en situación de riesgo (9.3.)
PREVENCIÓN DEL CONSUMO DE DROGAS Y DE DISMINUCIÓN DE LOS RIESGOS EN MENORES Y JÓVENES EN LA COMUNIDAD;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 3;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 209764;;coordinacion@asociacionauryn.org;;ASOCIACION JUVENIL "AURYN";ASOCIACIÓN;TOXICOMANÍAS Y ADICCIONES;Servicio;(11.3)Serv. de prevención del consumo de drogas y de disminución de los riesgos en menores y jóvenes
APOYO PREVENTIVO A LA INFANCIA Y A LA ADOLESCENCIA EN SITUACIÓN DE RIESGO;30/09/2021;CALLE CAMPOS GOTICOS (LOS) 3;24;24089;LEON;LEON;24005;LEÓN - PUENTE CASTRO;987 209764;;coordinacion@asociacionauryn.org;;ASOCIACION JUVENIL "AURYN";ASOCIACIÓN;INFANCIA (Y JUVENTUD);Servicio;Servicio de apoyo preventivo a la infancia y a la adolescencia en situación de riesgo (9.3.)
ASISTENCIA SOCIOSANITARIA AMBULATORIA A PERSONAS CON DROGODEPENDENCIA;30/09/2021;AVENIDA ALCALDE MIGUEL CASTAÑO 108;24;24089;LEON;LEON;24005;LEÓN - CENTRO;987 252535;;castillayleon@cruzroja.es;;CRUZ ROJA ESPAÑOLA;ASOCIACIÓN;TOXICOMANÍAS Y ADICCIONES;Servicio;(26.21 ) Servicio de asistencia sociosanitaria ambulatoria a personas con drogodependencia
SERVICIO DE APOYO A LA PERMANENCIA DE LAS PERSONAS MAYORES EN EL DOMICILIO;30/09/2021;AVENIDA PEREGRINOS 40-42;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;987 840264;;;;SANYRES SUR, S.L.;SOCIEDADES;PERSONAS MAYORES;Servicio;Apoyo a la permanencia de personas mayores en su domicilio
SERVICIO DE ESTIMULACIÓN COGNITIVA;03/05/2024;PLAZA SAN MARCOS 6,7ºE;24;24089;LEON;LEON;24002;LEÓN - CENTRO;987 919823;;dirleon.cognitiv@unidadmemoria.com;;HELFE SOCIAL S.L;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
SERVICIO DE ESTIMULACIÓN COGNITIVA;30/09/2021;AVENIDA FACULTAD DE VETERINARIA 17;24;24089;LEON;LEON;24004;LEÓN - CENTRO;987 281875;;gerencia@fundacioncarriegos.com;;FUNDACIÓN CARRIEGOS;FUNDACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Promoción de la autonomía personal: Estimulación cognitiva.
HABILITACION Y TERAPIA OCUPACIONAL;30/09/2021;AVENIDA FACULTAD DE VETERINARIA 17;24;24089;LEON;LEON;24004;LEÓN - CENTRO;987 281875;;gerencia@fundacioncarriegos.com;;FUNDACIÓN CARRIEGOS;FUNDACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE PROMOCIÓN DE LA AUTONOMÍA PERSONAL: DE ATENCIÓN TEMPRANA;26/01/2024;PLAZA SAN MARCOS 6-3ºE;24;24089;LEON;LEON;24001;LEÓN - CENTRO;;;;;JESICA MELGAR CABEZAS;PERSONA FÍSICA-EMPRESA INDIVIDUAL;INFANCIA (Y JUVENTUD);Servicio;Promoción de la autonomía personal: Atención temprana
SERVICIO DE AYUDA A DOMICILIO;17/07/2024;AVENIDA GRAN VÍA DE SAN MARCOS, Nº 34 BAJO;24;24089;LEON;LEON;24002;LEÓN - CENTRO;987 266058;987 616400973;info@msolucionaleon.com;;SERAUX DEL NOROESTE, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Procedimiento, Servicio;Ayuda a domicilio
ASISTENCIA PERSONAL;02/08/2022;CALLE MANUEL BARTOLOMÉ COSSÍO, 4;24;24089;LEON;LEON;24008;LEÓN - MARIANO ANDRÉS;606 779601;;katiagonzalezmerayo@gmail.com;;KATIA GONZALEZ MERAYO;PERSONA FÍSICA-EMPRESA INDIVIDUAL;POBLACIÓN GENERAL;Servicio;Asistencia Personal
SERVICIO DE ALOJAMIENTO PARA PERSONAS SIN HOGAR;30/09/2021;CALLE MEDUL 3,2º;24;24089;LEON;LEON;24007;LEÓN - SAN MAMÉS;638 794430;;leon@accem.es;;ACCEM;ASOCIACIÓN;INCLUSIÓN SOCIAL-[TR];Servicio;( 29.10 ) Servicio de alojamiento para personas sin hogar
SERVICIO DE ALOJAMIENTO PARA PERSONAS SIN HOGAR;30/09/2021;CALLE JORGE DE MONTEMAYOR 8,4ºC;24;24089;LEON;LEON;24007;LEÓN - SAN MAMÉS;638 794430;;leon@accem.es;;ACCEM;ASOCIACIÓN;INCLUSIÓN SOCIAL-[TR];Servicio;( 29.10 ) Servicio de alojamiento para personas sin hogar
ESCUELAS DE FAMILIAS;30/09/2021;PLAZA SANTO DOMINGO 5;24;24089;LEON;LEON;24001;LEÓN - CENTRO;677 127581;;asociacionhara@hotmail.com;;ASOCIACION HARA;ASOCIACIÓN;POBLACIÓN GENERAL;Procedimiento, Servicio;Apoyo a familias
ASISTENCIA PERSONAL;30/09/2021;AVENIDA GRAN VÍA DE SAN MARCOS, Nº 34 BAJO;24;24089;LEON;LEON;24002;LEÓN - CENTRO;616 400973;;;;SERAUX DEL NOROESTE, S.L.;SOCIEDADES;POBLACIÓN GENERAL;Servicio;Asistencia Personal
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;30/09/2021;CALLE CAMPOS GOTICOS (LOS) S/N EDIFICIO CHF ADA;24;24089;LEON;LEON;24005;LEÓN - MARIANO ANDRÉS;636 424646;;info@parkinsonleon.org;;ASOCIACIÓN PARKINSON LEÓN;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
SERVICIO DE PROMOCIÓN, MANTENIMIENTO Y RECUPERACIÓN DE LA AUTONOMÍA FUNCIONAL;10/09/2024;CARRETERA CARBAJAL S/N CENTRO AUTISMO LEÓN - COMPLEJO SAN CAYETANO;24;24089;LEON;LEON;24009;LEÓN - MARIANO ANDRÉS;987 234341;;asociacion@autismoleon.org;;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON AUTISMO DE LEÓN Y  PROVINCIA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Promoción, Mantenimiento y Recuperación de Autonomía Funcional
SERVICIO DE HABILITACIÓN Y TERAPIA OCUPACIONAL;30/04/2024;CARRETERA CARBAJAL S/N CENTRO AUTISMO LEÓN - COMPLEJO SAN CAYETANO;24;24089;LEON;LEON;24009;LEÓN - MARIANO ANDRÉS;987 234341;;asociacion@autismoleon.org;;ASOCIACIÓN DE PADRES Y FAMILIARES DE PERSONAS CON AUTISMO DE LEÓN Y  PROVINCIA;ASOCIACIÓN;POBLACIÓN GENERAL;Servicio;Promoción de la autonomía personal: Habilitación y Terapia Ocupacional
